Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
0.13638	16.863102	0.272768	28.480946	1.363877	0							0.13638	-0.200328
0.136961	16.863562	0.273929	28.480042	1.36968	0							0.136961	-0.200059
0.137541	16.863209	0.27509	28.478985	1.375484	0							0.137541	-0.19979
0.138122	16.862364	0.27625	28.478123	1.381288	0							0.138122	-0.19952
0.138702	16.862677	0.277411	28.477205	1.387092	0							0.138702	-0.199251
0.139282	16.863201	0.278572	28.476316	1.392895	0							0.139282	-0.198981
0.139863	16.863718	0.279732	28.475344	1.398699	0							0.139863	-0.19871
0.140443	16.86368	0.280893	28.474813	1.404503	0							0.140443	-0.198439
0.141023	16.863688	0.282054	28.474838	1.410306	0							0.141023	-0.198168
0.141604	16.863092	0.283215	28.475306	1.41611	0							0.141604	-0.197897
0.142184	16.862219	0.284375	28.476078	1.421914	0							0.142184	-0.197626
0.142764	16.861517	0.285536	28.477182	1.427718	0							0.142764	-0.197355
0.143345	16.861467	0.286697	28.478737	1.433521	0							0.143345	-0.197084
0.143925	16.861584	0.287857	28.480162	1.439325	0							0.143925	-0.196813
0.144505	16.860863	0.289018	28.481815	1.445129	0							0.144505	-0.196542
0.145086	16.860638	0.290179	28.483452	1.450933	0							0.145086	-0.196271
0.145666	16.860992	0.29134	28.485054	1.456736	0							0.145666	-0.195999
0.146246	16.861385	0.2925	28.486467	1.46254	0							0.146246	-0.195727
0.146827	16.862238	0.293661	28.487873	1.468344	0							0.146827	-0.195454
0.147407	16.861744	0.294822	28.48926	1.474148	0							0.147407	-0.195182
0.147987	16.862152	0.295982	28.490623	1.479951	0							0.147987	-0.19491
0.148568	16.862425	0.297143	28.492029	1.485755	0							0.148568	-0.194637
0.149148	16.86278	0.298304	28.493677	1.491559	0							0.149148	-0.194365
0.149728	16.862267	0.299465	28.495321	1.497362	0							0.149728	-0.194093
0.150309	16.861874	0.300625	28.497126	1.503166	0							0.150309	-0.19382
0.150889	16.861807	0.301786	28.498957	1.50897	0							0.150889	-0.193548
0.151469	16.861851	0.302947	28.500711	1.514774	0							0.151469	-0.193367
0.15205	16.861923	0.304107	28.502623	1.520577	0							0.15205	-0.193185
0.15263	16.86286	0.305268	28.50491	1.526381	0							0.15263	-0.193004
0.15321	16.863453	0.306429	28.507292	1.532185	0							0.15321	-0.192822
0.153791	16.864624	0.30759	28.509783	1.537989	0							0.153791	-0.192641
0.154371	16.866005	0.30875	28.512281	1.543792	0							0.154371	-0.192459
0.154951	16.866188	0.309911	28.514626	1.549596	0							0.154951	-0.192278
